,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0004592,13.0,27.0,15.0,14.0,25.0
MIMAT0004593,0.0,1.0,2.0,1.0,1.0
MIMAT0004594,178.0,86.0,259.0,126.0,343.0
MIMAT0004595,0.0,0.0,3.0,0.0,1.0
MIMAT0004596,19.0,17.0,21.0,19.0,23.0
MIMAT0004597,9218.0,12925.0,17494.0,9909.0,17877.0
MIMAT0004598,3.0,1.0,1.0,1.0,3.0
MIMAT0004599,52.0,31.0,60.0,45.0,25.0
MIMAT0004600,850.0,285.0,3398.0,8193.0,5357.0
MIMAT0004601,58.0,30.0,82.0,46.0,65.0
MIMAT0004602,18.0,19.0,30.0,19.0,29.0
MIMAT0004603,500.0,489.0,1054.0,389.0,935.0
MIMAT0004604,9658.0,4930.0,10444.0,7365.0,9000.0
MIMAT0004605,1544.0,422.0,1984.0,880.0,1964.0
MIMAT0004606,864.0,341.0,1333.0,537.0,1020.0
MIMAT0004607,83.0,28.0,64.0,30.0,61.0
MIMAT0004608,0.0,1.0,0.0,2.0,0.0
MIMAT0004609,8.0,7.0,30.0,14.0,19.0
MIMAT0004610,0.0,2.0,2.0,0.0,0.0
MIMAT0004611,55.0,32.0,70.0,54.0,68.0
MIMAT0004612,1.0,1.0,1.0,0.0,0.0
MIMAT0004613,2.0,2.0,2.0,0.0,1.0
MIMAT0004614,441.0,584.0,507.0,344.0,513.0
MIMAT0004615,10.0,3.0,23.0,4.0,15.0
MIMAT0004671,2.0,4.0,6.0,2.0,5.0
MIMAT0004672,357.0,895.0,515.0,518.0,553.0
MIMAT0004673,305.0,322.0,370.0,313.0,315.0
MIMAT0004674,5.0,12.0,10.0,8.0,13.0
MIMAT0004675,10795.0,215713.0,24453.0,30999.0,61326.0
MIMAT0004676,5.0,40.0,12.0,13.0,23.0
MIMAT0004677,9.0,111.0,21.0,19.0,37.0
MIMAT0004678,479.0,413.0,706.0,353.0,522.0
MIMAT0004679,3.0,7.0,1.0,4.0,5.0
MIMAT0004680,33.0,49.0,30.0,22.0,31.0
MIMAT0004681,14.0,21.0,13.0,8.0,11.0
MIMAT0004682,1327.0,1466.0,1829.0,1073.0,2179.0
MIMAT0004683,5.0,1.0,10.0,3.0,11.0
MIMAT0004687,1.0,0.0,0.0,0.0,0.0
MIMAT0004688,2276.0,2798.0,2574.0,1742.0,2818.0
MIMAT0004689,107.0,47.0,170.0,117.0,181.0
MIMAT0004690,15.0,4.0,52.0,22.0,30.0
MIMAT0004692,400.0,1061.0,934.0,573.0,1117.0
MIMAT0004693,505.0,1884.0,607.0,488.0,697.0
MIMAT0004694,50.0,45.0,79.0,36.0,59.0
MIMAT0004695,1.0,1.0,2.0,1.0,1.0
MIMAT0004696,71.0,33.0,110.0,47.0,84.0
MIMAT0004697,488.0,1766.0,890.0,580.0,1250.0
MIMAT0004698,1.0,0.0,0.0,0.0,0.0
MIMAT0004699,5.0,15.0,23.0,12.0,8.0
MIMAT0004700,21.0,27.0,41.0,22.0,49.0
MIMAT0004701,560.0,5836.0,1102.0,989.0,2422.0
MIMAT0004702,86.0,65.0,142.0,93.0,132.0
MIMAT0004703,990.0,337.0,1074.0,496.0,828.0
MIMAT0004748,195.0,452.0,328.0,326.0,322.0
MIMAT0004749,8.0,3.0,6.0,3.0,3.0
MIMAT0004751,2.0,0.0,1.0,2.0,1.0
MIMAT0004752,7.0,4.0,12.0,6.0,9.0
MIMAT0004757,3679.0,1651.0,4252.0,2698.0,3847.0
MIMAT0004761,6.0,7.0,3.0,3.0,5.0
MIMAT0004762,0.0,1.0,1.0,9.0,2.0
MIMAT0004763,146.0,101.0,240.0,123.0,200.0
MIMAT0004764,4.0,0.0,9.0,8.0,3.0
MIMAT0004765,41.0,28.0,51.0,33.0,61.0
MIMAT0004766,326.0,181.0,322.0,255.0,323.0
MIMAT0004767,18.0,69.0,34.0,20.0,29.0
MIMAT0004768,3.0,1.0,3.0,5.0,6.0
MIMAT0004770,5.0,7.0,7.0,8.0,7.0
MIMAT0004772,0.0,0.0,1.0,2.0,2.0
MIMAT0004773,8.0,9.0,20.0,14.0,20.0
MIMAT0004774,100.0,149.0,160.0,98.0,128.0
MIMAT0004775,11.0,17.0,27.0,22.0,23.0
MIMAT0004776,19.0,55.0,21.0,25.0,18.0
MIMAT0004778,3.0,2.0,4.0,4.0,1.0
MIMAT0004780,53.0,89.0,80.0,50.0,55.0
MIMAT0004784,276.0,249.0,458.0,289.0,295.0
MIMAT0004785,1.0,0.0,2.0,0.0,3.0
MIMAT0004792,1.0,4.0,5.0,3.0,9.0
MIMAT0004793,0.0,2.0,1.0,0.0,0.0
MIMAT0004794,0.0,0.0,0.0,0.0,2.0
MIMAT0004797,4610.0,2095.0,4231.0,2970.0,4269.0
MIMAT0004798,0.0,0.0,0.0,1.0,0.0
MIMAT0004799,333.0,1752.0,460.0,282.0,484.0
MIMAT0004800,8.0,5.0,5.0,7.0,6.0
MIMAT0004801,8.0,27.0,14.0,10.0,19.0
MIMAT0004803,0.0,0.0,0.0,0.0,1.0
MIMAT0004805,2.0,4.0,0.0,1.0,0.0
MIMAT0004808,763.0,6478.0,1166.0,1636.0,2280.0
MIMAT0004809,762.0,292.0,814.0,465.0,699.0
MIMAT0004810,152.0,69.0,172.0,177.0,168.0
MIMAT0004811,0.0,2.0,0.0,2.0,1.0
MIMAT0004813,120.0,34.0,108.0,59.0,178.0
MIMAT0004814,356.0,185.0,528.0,363.0,583.0
MIMAT0004819,28.0,29.0,38.0,23.0,40.0
MIMAT0004902,110.0,30.0,120.0,60.0,83.0
MIMAT0004907,1.0,0.0,3.0,2.0,3.0
MIMAT0004909,33.0,21.0,48.0,27.0,35.0
MIMAT0004911,1664.0,1537.0,2079.0,1117.0,1956.0
MIMAT0004912,0.0,0.0,0.0,1.0,0.0
MIMAT0004913,0.0,0.0,1.0,1.0,0.0
MIMAT0004916,0.0,0.0,0.0,1.0,0.0
MIMAT0004918,1.0,0.0,0.0,0.0,0.0
MIMAT0004919,1.0,0.0,1.0,1.0,3.0
MIMAT0004920,139.0,40.0,154.0,106.0,140.0
MIMAT0004921,1561.0,682.0,3843.0,1447.0,3195.0
MIMAT0004924,29.0,5.0,25.0,18.0,28.0
MIMAT0004925,15.0,4.0,15.0,12.0,10.0
MIMAT0004926,713.0,258.0,875.0,489.0,799.0
MIMAT0004927,1248.0,824.0,1344.0,963.0,1280.0
MIMAT0004928,0.0,2.0,0.0,0.0,0.0
MIMAT0004929,3.0,0.0,0.0,0.0,0.0
MIMAT0004945,1488.0,861.0,2510.0,985.0,1764.0
MIMAT0004946,398.0,177.0,302.0,228.0,367.0
MIMAT0004947,984.0,333.0,996.0,556.0,856.0
MIMAT0004948,14.0,3.0,25.0,16.0,25.0
MIMAT0004949,17.0,31.0,19.0,17.0,32.0
MIMAT0004950,1.0,3.0,5.0,1.0,3.0
MIMAT0004951,28.0,131.0,83.0,56.0,39.0
MIMAT0004952,1.0,0.0,0.0,0.0,0.0
MIMAT0004953,102.0,42.0,88.0,71.0,93.0
MIMAT0004954,92.0,37.0,184.0,74.0,220.0
MIMAT0004955,345.0,635.0,459.0,414.0,707.0
MIMAT0004956,13.0,14.0,18.0,8.0,26.0
MIMAT0004957,42.0,54.0,52.0,40.0,34.0
MIMAT0004958,1.0,8.0,1.0,3.0,5.0
MIMAT0004959,0.0,3.0,4.0,3.0,5.0
MIMAT0004960,0.0,0.0,1.0,1.0,2.0
MIMAT0004975,2.0,0.0,1.0,0.0,4.0
MIMAT0004977,0.0,0.0,0.0,0.0,1.0
MIMAT0004978,2403.0,473.0,2144.0,1304.0,2254.0
MIMAT0004980,6.0,16.0,4.0,12.0,8.0
MIMAT0004982,4.0,0.0,3.0,1.0,4.0
MIMAT0004983,74.0,25.0,87.0,59.0,93.0
MIMAT0004985,3.0,25.0,16.0,19.0,29.0
MIMAT0004986,0.0,0.0,0.0,0.0,2.0
MIMAT0004987,1.0,0.0,2.0,0.0,1.0
MIMAT0005452,8.0,17.0,17.0,21.0,26.0
MIMAT0005457,0.0,0.0,0.0,0.0,1.0
MIMAT0005458,365.0,182.0,528.0,275.0,441.0
MIMAT0005459,3.0,3.0,6.0,6.0,5.0
MIMAT0005572,0.0,0.0,1.0,5.0,0.0
MIMAT0005573,1.0,0.0,3.0,2.0,2.0
MIMAT0005577,10.0,41.0,7.0,8.0,9.0
MIMAT0005580,0.0,0.0,0.0,1.0,2.0
MIMAT0005582,5.0,16.0,6.0,2.0,10.0
MIMAT0005583,10.0,9.0,11.0,8.0,8.0
MIMAT0005584,43.0,18.0,16.0,19.0,32.0
MIMAT0005589,0.0,0.0,1.0,2.0,1.0
MIMAT0005592,0.0,0.0,1.0,0.0,0.0
MIMAT0005789,0.0,3.0,0.0,1.0,0.0
MIMAT0005791,9.0,2.0,6.0,3.0,11.0
MIMAT0005792,12.0,40.0,9.0,15.0,9.0
MIMAT0005793,0.0,4.0,0.0,1.0,2.0
MIMAT0005794,574.0,204.0,564.0,543.0,718.0
MIMAT0005795,0.0,0.0,1.0,0.0,0.0
MIMAT0005796,42.0,87.0,45.0,31.0,40.0
MIMAT0005797,237.0,205.0,380.0,215.0,291.0
MIMAT0005798,19.0,6.0,28.0,15.0,38.0
MIMAT0005799,1.0,0.0,1.0,0.0,2.0
MIMAT0005800,30.0,16.0,33.0,15.0,32.0
MIMAT0005823,0.0,0.0,0.0,0.0,1.0
MIMAT0005824,17.0,8.0,23.0,12.0,18.0
MIMAT0005825,1004.0,530.0,1160.0,665.0,1022.0
MIMAT0005826,1.0,1.0,0.0,0.0,2.0
MIMAT0005874,1.0,1.0,0.0,1.0,2.0
MIMAT0005875,0.0,0.0,0.0,2.0,2.0
MIMAT0005877,1.0,0.0,4.0,0.0,1.0
MIMAT0005878,70.0,483.0,97.0,71.0,102.0
MIMAT0005881,2.0,8.0,2.0,3.0,1.0
MIMAT0005882,0.0,0.0,2.0,2.0,0.0
MIMAT0005885,1.0,6.0,2.0,2.0,2.0
MIMAT0005889,0.0,1.0,0.0,0.0,0.0
MIMAT0005892,0.0,0.0,2.0,0.0,1.0
MIMAT0005893,1.0,3.0,0.0,0.0,4.0
MIMAT0005894,5.0,16.0,4.0,7.0,6.0
MIMAT0005895,0.0,0.0,0.0,2.0,0.0
MIMAT0005899,36.0,5.0,30.0,16.0,26.0
MIMAT0005901,218.0,292.0,360.0,216.0,387.0
MIMAT0005902,6.0,44.0,6.0,11.0,21.0
MIMAT0005903,91.0,66.0,131.0,48.0,57.0
MIMAT0005905,2.0,6.0,1.0,1.0,1.0
MIMAT0005906,0.0,0.0,1.0,0.0,0.0
MIMAT0005907,0.0,0.0,1.0,0.0,1.0
MIMAT0005909,55.0,19.0,78.0,53.0,69.0
MIMAT0005914,6.0,9.0,6.0,3.0,7.0
MIMAT0005919,0.0,5.0,1.0,2.0,1.0
MIMAT0005920,16.0,24.0,7.0,13.0,12.0
MIMAT0005921,0.0,0.0,1.0,0.0,0.0
MIMAT0005923,9.0,4.0,39.0,13.0,5.0
MIMAT0005924,0.0,78.0,30.0,11.0,11.0
MIMAT0005929,0.0,2.0,0.0,0.0,1.0
MIMAT0005930,2.0,4.0,4.0,0.0,4.0
MIMAT0005933,6.0,15.0,14.0,3.0,12.0
MIMAT0005941,1.0,1.0,3.0,1.0,0.0
MIMAT0005942,1.0,6.0,3.0,1.0,4.0
MIMAT0005943,4.0,12.0,8.0,5.0,7.0
MIMAT0005944,1.0,0.0,2.0,0.0,0.0
MIMAT0005948,17.0,20.0,29.0,20.0,26.0
MIMAT0005949,236.0,132.0,295.0,165.0,323.0
MIMAT0005950,6.0,6.0,12.0,6.0,10.0
MIMAT0005951,6148.0,6410.0,7530.0,5791.0,6703.0
MIMAT0005955,9.0,1.0,8.0,7.0,9.0
MIMAT0006764,2.0,2.0,1.0,2.0,0.0
MIMAT0006789,62.0,60.0,81.0,50.0,72.0
MIMAT0006790,19.0,6.0,29.0,13.0,22.0
MIMAT0007400,2.0,1.0,1.0,0.0,0.0
MIMAT0007881,0.0,0.0,0.0,1.0,1.0
MIMAT0007882,0.0,0.0,0.0,1.0,0.0
MIMAT0007884,0.0,0.0,0.0,1.0,0.0
MIMAT0007885,15.0,1.0,14.0,2.0,11.0
MIMAT0007887,53.0,15.0,114.0,32.0,119.0
MIMAT0007888,0.0,2.0,0.0,1.0,0.0
MIMAT0007889,1.0,0.0,0.0,0.0,0.0
MIMAT0009196,44.0,26.0,50.0,32.0,46.0
MIMAT0009198,0.0,1.0,0.0,1.0,0.0
MIMAT0009199,4.0,1.0,5.0,4.0,2.0
MIMAT0009203,1.0,0.0,0.0,0.0,0.0
MIMAT0009206,4.0,3.0,5.0,1.0,2.0
MIMAT0009451,14.0,141.0,29.0,58.0,46.0
MIMAT0010133,9.0,10.0,21.0,18.0,23.0
MIMAT0010195,29.0,116.0,42.0,12.0,39.0
MIMAT0010214,20.0,119.0,31.0,35.0,52.0
MIMAT0010251,0.0,0.0,0.0,0.0,1.0
MIMAT0010357,0.0,1.0,4.0,0.0,2.0
MIMAT0010367,1.0,0.0,1.0,1.0,1.0
MIMAT0011156,0.0,0.0,2.0,1.0,3.0
MIMAT0011157,1.0,0.0,0.0,0.0,0.0
MIMAT0011158,1.0,4.0,0.0,0.0,1.0
MIMAT0011159,2.0,1.0,3.0,4.0,2.0
MIMAT0011160,1.0,2.0,0.0,0.0,1.0
MIMAT0011161,0.0,9.0,2.0,1.0,1.0
MIMAT0011163,1.0,2.0,0.0,2.0,3.0
MIMAT0011775,0.0,3.0,0.0,2.0,0.0
MIMAT0011777,8.0,2.0,8.0,5.0,3.0
MIMAT0012735,1.0,0.0,0.0,0.0,0.0
MIMAT0013515,1.0,0.0,8.0,3.0,6.0
MIMAT0013516,5.0,0.0,2.0,0.0,2.0
MIMAT0013517,23.0,5.0,32.0,20.0,24.0
MIMAT0013518,5.0,4.0,10.0,4.0,4.0
MIMAT0014977,0.0,0.0,1.0,0.0,0.0
MIMAT0014979,13.0,3.0,24.0,7.0,31.0
MIMAT0014982,0.0,1.0,0.0,0.0,0.0
MIMAT0014986,0.0,2.0,0.0,1.0,0.0
MIMAT0014987,0.0,2.0,1.0,2.0,0.0
MIMAT0014988,2.0,0.0,8.0,0.0,3.0
MIMAT0014990,40.0,70.0,32.0,34.0,38.0
MIMAT0014991,0.0,1.0,0.0,0.0,1.0
MIMAT0014994,0.0,1.0,0.0,0.0,0.0
MIMAT0014995,5.0,12.0,3.0,12.0,4.0
MIMAT0014997,1.0,0.0,1.0,0.0,0.0
MIMAT0015001,1.0,1.0,0.0,1.0,1.0
MIMAT0015003,0.0,4.0,0.0,1.0,0.0
MIMAT0015004,0.0,0.0,2.0,0.0,0.0
MIMAT0015007,0.0,4.0,1.0,0.0,1.0
MIMAT0015008,0.0,0.0,0.0,1.0,0.0
MIMAT0015009,0.0,1.0,1.0,0.0,0.0
MIMAT0015015,1.0,1.0,0.0,0.0,0.0
MIMAT0015020,6.0,65.0,5.0,10.0,11.0
MIMAT0015022,1.0,2.0,1.0,0.0,0.0
MIMAT0015024,4.0,3.0,1.0,1.0,2.0
MIMAT0015027,0.0,0.0,0.0,1.0,0.0
MIMAT0015028,0.0,0.0,2.0,0.0,0.0
MIMAT0015031,0.0,1.0,1.0,0.0,3.0
MIMAT0015032,0.0,0.0,2.0,0.0,1.0
MIMAT0015035,0.0,4.0,0.0,4.0,0.0
MIMAT0015038,0.0,0.0,1.0,1.0,1.0
MIMAT0015040,0.0,0.0,1.0,0.0,0.0
MIMAT0015042,0.0,0.0,0.0,2.0,0.0
MIMAT0015045,1.0,1.0,0.0,1.0,2.0
MIMAT0015049,0.0,1.0,4.0,0.0,0.0
MIMAT0015050,1024.0,439.0,563.0,343.0,904.0
MIMAT0015053,2.0,0.0,3.0,1.0,0.0
MIMAT0015054,4.0,1.0,5.0,1.0,4.0
MIMAT0015061,0.0,1.0,0.0,1.0,1.0
MIMAT0015063,1.0,3.0,0.0,1.0,2.0
MIMAT0015066,31.0,14.0,29.0,13.0,32.0
MIMAT0015069,1.0,1.0,1.0,0.0,1.0
MIMAT0015070,0.0,3.0,2.0,1.0,1.0
MIMAT0015072,0.0,0.0,1.0,0.0,1.0
MIMAT0015073,4.0,1.0,0.0,1.0,0.0
MIMAT0015076,0.0,0.0,2.0,1.0,0.0
MIMAT0015077,2.0,0.0,3.0,0.0,1.0
MIMAT0015078,0.0,0.0,0.0,0.0,1.0
MIMAT0015080,0.0,0.0,0.0,0.0,1.0
MIMAT0015083,0.0,1.0,1.0,0.0,1.0
MIMAT0015084,0.0,3.0,2.0,7.0,3.0
MIMAT0015085,893.0,810.0,1100.0,758.0,1207.0
MIMAT0015087,1.0,2.0,2.0,0.0,0.0
MIMAT0015377,0.0,0.0,1.0,0.0,0.0
MIMAT0015378,642.0,256.0,767.0,385.0,768.0
MIMAT0016847,13.0,8.0,26.0,15.0,18.0
MIMAT0016884,1.0,2.0,4.0,0.0,3.0
MIMAT0016888,9.0,37.0,15.0,19.0,21.0
MIMAT0016895,195.0,367.0,111.0,150.0,168.0
MIMAT0016915,1.0,0.0,0.0,0.0,0.0
MIMAT0016916,0.0,1.0,0.0,0.0,0.0
MIMAT0016925,8.0,9.0,20.0,14.0,20.0
MIMAT0017352,8.0,7.0,12.0,14.0,5.0
MIMAT0017392,3.0,5.0,7.0,2.0,2.0
MIMAT0017950,18.0,37.0,13.0,9.0,25.0
MIMAT0017981,0.0,0.0,5.0,2.0,1.0
MIMAT0017982,12.0,21.0,9.0,11.0,7.0
MIMAT0017984,0.0,0.0,0.0,1.0,0.0
MIMAT0017985,33.0,31.0,42.0,27.0,33.0
MIMAT0017986,0.0,1.0,1.0,0.0,0.0
MIMAT0017987,0.0,1.0,2.0,0.0,3.0
MIMAT0017988,0.0,0.0,0.0,0.0,2.0
MIMAT0017989,0.0,1.0,0.0,0.0,0.0
MIMAT0017990,25.0,57.0,52.0,34.0,77.0
MIMAT0017991,5.0,3.0,2.0,5.0,8.0
MIMAT0017992,1.0,0.0,0.0,0.0,2.0
MIMAT0017993,0.0,0.0,2.0,1.0,1.0
MIMAT0017994,21.0,211.0,54.0,36.0,87.0
MIMAT0017996,0.0,0.0,1.0,0.0,0.0
MIMAT0018000,2.0,1.0,2.0,0.0,1.0
MIMAT0018001,1.0,2.0,1.0,0.0,2.0
MIMAT0018003,0.0,0.0,0.0,2.0,0.0
MIMAT0018004,4.0,3.0,7.0,4.0,3.0
MIMAT0018006,0.0,3.0,0.0,0.0,0.0
MIMAT0018071,1.0,0.0,0.0,0.0,0.0
MIMAT0018072,0.0,0.0,0.0,0.0,1.0
MIMAT0018073,6.0,5.0,5.0,5.0,5.0
MIMAT0018075,0.0,0.0,0.0,1.0,0.0
MIMAT0018080,1.0,0.0,0.0,0.0,0.0
MIMAT0018082,0.0,0.0,1.0,0.0,3.0
MIMAT0018083,0.0,0.0,0.0,1.0,0.0
MIMAT0018085,0.0,1.0,0.0,0.0,1.0
MIMAT0018086,1.0,0.0,0.0,0.0,0.0
MIMAT0018089,0.0,0.0,0.0,1.0,0.0
MIMAT0018090,0.0,0.0,0.0,2.0,0.0
MIMAT0018098,0.0,1.0,0.0,0.0,0.0
MIMAT0018101,7.0,11.0,13.0,10.0,5.0
MIMAT0018102,6.0,9.0,5.0,5.0,5.0
MIMAT0018103,3.0,3.0,5.0,0.0,3.0
MIMAT0018104,0.0,1.0,0.0,0.0,0.0
MIMAT0018105,1.0,1.0,1.0,0.0,0.0
MIMAT0018107,1.0,1.0,2.0,0.0,2.0
MIMAT0018108,4.0,0.0,0.0,1.0,0.0
MIMAT0018109,0.0,0.0,1.0,0.0,0.0
MIMAT0018110,2.0,8.0,4.0,3.0,5.0
MIMAT0018112,1.0,0.0,1.0,1.0,0.0
MIMAT0018116,0.0,1.0,0.0,0.0,0.0
MIMAT0018119,7.0,6.0,3.0,2.0,1.0
MIMAT0018120,3.0,4.0,2.0,2.0,2.0
MIMAT0018121,0.0,1.0,0.0,0.0,0.0
MIMAT0018122,0.0,0.0,1.0,3.0,0.0
MIMAT0018183,1.0,4.0,5.0,3.0,2.0
MIMAT0018184,0.0,1.0,0.0,0.0,0.0
MIMAT0018185,1.0,1.0,0.0,0.0,0.0
MIMAT0018186,5.0,3.0,24.0,6.0,21.0
MIMAT0018187,4.0,3.0,7.0,4.0,5.0
MIMAT0018188,0.0,0.0,0.0,1.0,0.0
MIMAT0018189,0.0,0.0,0.0,0.0,1.0
MIMAT0018191,8.0,4.0,6.0,2.0,7.0
MIMAT0018193,5.0,3.0,1.0,3.0,2.0
MIMAT0018194,1.0,1.0,0.0,2.0,1.0
MIMAT0018195,2.0,0.0,0.0,0.0,0.0
MIMAT0018197,5.0,4.0,2.0,2.0,4.0
MIMAT0018198,4.0,0.0,7.0,6.0,4.0
MIMAT0018201,2.0,0.0,1.0,0.0,0.0
MIMAT0018203,5.0,3.0,0.0,0.0,0.0
MIMAT0018204,3.0,11.0,6.0,2.0,10.0
MIMAT0018205,8.0,17.0,15.0,6.0,18.0
MIMAT0018206,0.0,0.0,0.0,0.0,1.0
MIMAT0018349,2.0,1.0,3.0,0.0,1.0
MIMAT0018352,0.0,4.0,2.0,1.0,1.0
MIMAT0018353,0.0,1.0,0.0,0.0,2.0
MIMAT0018354,0.0,0.0,0.0,0.0,1.0
MIMAT0018355,0.0,0.0,1.0,0.0,0.0
MIMAT0018356,3.0,0.0,4.0,0.0,2.0
MIMAT0018358,0.0,2.0,0.0,0.0,0.0
MIMAT0018359,51.0,10.0,55.0,46.0,36.0
MIMAT0018360,2.0,1.0,0.0,0.0,0.0
MIMAT0018926,0.0,1.0,3.0,2.0,1.0
MIMAT0018932,0.0,0.0,1.0,0.0,0.0
MIMAT0018934,2.0,0.0,2.0,1.0,2.0
MIMAT0018936,0.0,1.0,0.0,0.0,0.0
MIMAT0018947,0.0,1.0,0.0,0.0,0.0
MIMAT0018949,0.0,0.0,0.0,1.0,0.0
MIMAT0018950,0.0,1.0,1.0,0.0,0.0
MIMAT0018951,0.0,0.0,0.0,0.0,2.0
MIMAT0018957,0.0,0.0,4.0,0.0,0.0
MIMAT0018960,0.0,1.0,1.0,0.0,0.0
MIMAT0018961,1.0,2.0,3.0,3.0,3.0
MIMAT0018962,2.0,16.0,10.0,1.0,7.0
MIMAT0018965,7.0,7.0,1.0,5.0,16.0
MIMAT0018968,0.0,0.0,2.0,0.0,0.0
MIMAT0018973,0.0,0.0,0.0,1.0,0.0
MIMAT0018975,0.0,0.0,0.0,1.0,0.0
MIMAT0018976,2.0,5.0,1.0,1.0,1.0
MIMAT0018983,2.0,2.0,1.0,2.0,0.0
MIMAT0018996,2.0,2.0,0.0,0.0,0.0
MIMAT0019000,2.0,1.0,2.0,1.0,3.0
MIMAT0019001,0.0,1.0,0.0,0.0,0.0
MIMAT0019006,0.0,1.0,0.0,0.0,0.0
MIMAT0019016,0.0,7.0,0.0,0.0,4.0
MIMAT0019018,4.0,1.0,3.0,2.0,0.0
MIMAT0019024,0.0,0.0,0.0,1.0,0.0
MIMAT0019026,0.0,0.0,0.0,1.0,1.0
MIMAT0019033,0.0,0.0,1.0,0.0,1.0
MIMAT0019037,20.0,6.0,24.0,4.0,17.0
MIMAT0019047,1.0,2.0,2.0,2.0,0.0
MIMAT0019048,0.0,1.0,0.0,1.0,0.0
MIMAT0019052,2.0,1.0,1.0,0.0,2.0
MIMAT0019053,1.0,0.0,0.0,0.0,0.0
MIMAT0019054,0.0,0.0,1.0,0.0,0.0
MIMAT0019057,0.0,0.0,0.0,1.0,0.0
MIMAT0019058,2.0,1.0,5.0,4.0,5.0
MIMAT0019059,0.0,0.0,0.0,0.0,2.0
MIMAT0019060,1.0,0.0,0.0,1.0,0.0
MIMAT0019061,0.0,0.0,0.0,1.0,1.0
MIMAT0019063,0.0,0.0,3.0,0.0,1.0
MIMAT0019064,0.0,0.0,1.0,0.0,0.0
MIMAT0019065,0.0,0.0,1.0,0.0,0.0
MIMAT0019066,1.0,0.0,0.0,0.0,0.0
MIMAT0019067,1.0,0.0,1.0,1.0,0.0
MIMAT0019068,0.0,3.0,3.0,3.0,3.0
MIMAT0019072,0.0,1.0,0.0,0.0,1.0
MIMAT0019074,0.0,0.0,0.0,2.0,0.0
MIMAT0019078,0.0,0.0,3.0,0.0,2.0
MIMAT0019200,0.0,1.0,0.0,0.0,1.0
MIMAT0019201,1.0,1.0,3.0,1.0,2.0
MIMAT0019202,0.0,0.0,1.0,0.0,0.0
MIMAT0019204,0.0,0.0,1.0,0.0,0.0
MIMAT0019205,0.0,0.0,1.0,0.0,0.0
MIMAT0019206,1.0,0.0,0.0,0.0,0.0
MIMAT0019208,7.0,11.0,13.0,10.0,8.0
MIMAT0019210,1.0,5.0,1.0,2.0,1.0
MIMAT0019211,1.0,0.0,1.0,1.0,0.0
MIMAT0019214,2.0,24.0,3.0,2.0,2.0
MIMAT0019216,0.0,0.0,0.0,1.0,0.0
MIMAT0019219,0.0,3.0,3.0,0.0,0.0
MIMAT0019220,1.0,0.0,0.0,0.0,0.0
MIMAT0019221,0.0,0.0,5.0,6.0,4.0
MIMAT0019225,1.0,0.0,1.0,0.0,0.0
MIMAT0019227,0.0,0.0,0.0,1.0,0.0
MIMAT0019228,0.0,0.0,0.0,0.0,1.0
MIMAT0019229,0.0,1.0,0.0,0.0,1.0
MIMAT0019232,0.0,1.0,0.0,0.0,3.0
MIMAT0019233,0.0,0.0,0.0,0.0,1.0
MIMAT0019337,0.0,0.0,0.0,0.0,1.0
MIMAT0019688,1.0,0.0,0.0,0.0,1.0
MIMAT0019693,1.0,3.0,0.0,0.0,4.0
MIMAT0019694,0.0,0.0,2.0,0.0,0.0
MIMAT0019695,1.0,1.0,0.0,2.0,0.0
MIMAT0019696,3.0,3.0,2.0,3.0,1.0
MIMAT0019697,0.0,0.0,1.0,1.0,0.0
MIMAT0019698,0.0,1.0,0.0,0.0,0.0
MIMAT0019699,0.0,3.0,3.0,1.0,0.0
MIMAT0019700,0.0,15.0,1.0,2.0,3.0
MIMAT0019701,0.0,1.0,0.0,2.0,0.0
MIMAT0019703,0.0,0.0,0.0,2.0,0.0
MIMAT0019706,0.0,0.0,1.0,0.0,0.0
MIMAT0019707,1.0,2.0,0.0,0.0,0.0
MIMAT0019708,2.0,0.0,0.0,0.0,0.0
MIMAT0019709,0.0,0.0,0.0,0.0,1.0
MIMAT0019720,2.0,0.0,1.0,0.0,0.0
MIMAT0019724,0.0,1.0,0.0,0.0,0.0
MIMAT0019725,0.0,1.0,0.0,0.0,0.0
MIMAT0019726,0.0,0.0,1.0,1.0,0.0
MIMAT0019728,1.0,4.0,4.0,2.0,0.0
MIMAT0019729,2.0,19.0,1.0,5.0,5.0
MIMAT0019731,63.0,83.0,37.0,35.0,97.0
MIMAT0019737,0.0,0.0,1.0,0.0,1.0
MIMAT0019739,3.0,1.0,1.0,2.0,0.0
MIMAT0019741,0.0,1.0,1.0,0.0,0.0
MIMAT0019743,0.0,0.0,1.0,0.0,0.0
MIMAT0019744,0.0,0.0,1.0,0.0,0.0
MIMAT0019746,13.0,1.0,9.0,4.0,6.0
MIMAT0019747,1.0,1.0,1.0,1.0,0.0
MIMAT0019748,3.0,10.0,1.0,7.0,2.0
MIMAT0019752,0.0,0.0,1.0,0.0,0.0
MIMAT0019755,0.0,1.0,0.0,0.0,1.0
MIMAT0019758,0.0,2.0,0.0,1.0,0.0
MIMAT0019759,1.0,0.0,0.0,0.0,0.0
