,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0000428,102.0,38.0,129.0,82.0,132.0
MIMAT0000429,3436.0,710.0,5248.0,2629.0,5404.0
MIMAT0000430,1235.0,439.0,1609.0,967.0,1821.0
MIMAT0000431,306.0,383.0,431.0,285.0,453.0
MIMAT0000432,6.0,8.0,15.0,9.0,12.0
MIMAT0000433,33.0,20.0,56.0,105.0,61.0
MIMAT0000434,776.0,737.0,1102.0,2098.0,996.0
MIMAT0000435,100776.0,53018.0,169162.0,123315.0,126679.0
MIMAT0000436,35.0,6.0,124.0,289.0,139.0
MIMAT0000437,2137.0,1631.0,3196.0,2531.0,2667.0
MIMAT0000438,424.0,780.0,686.0,336.0,587.0
MIMAT0000439,768.0,123.0,733.0,592.0,734.0
MIMAT0000440,3034.0,2535.0,2947.0,2431.0,2699.0
MIMAT0000441,1785844.0,1012682.0,2089286.0,1252930.0,1723787.0
MIMAT0000442,3903.0,2190.0,6627.0,3697.0,6309.0
MIMAT0000443,5645.0,5881.0,8503.0,3492.0,7461.0
MIMAT0000444,588.0,276.0,1077.0,528.0,871.0
MIMAT0000445,10392.0,5283.0,12035.0,8176.0,10587.0
MIMAT0000446,22903.0,11121.0,37863.0,18633.0,33905.0
MIMAT0000447,8248.0,3658.0,9153.0,6058.0,8710.0
MIMAT0000448,1116.0,531.0,1610.0,785.0,1358.0
MIMAT0000449,59.0,40.0,130.0,70.0,81.0
MIMAT0000450,2631.0,1367.0,3385.0,3825.0,2867.0
MIMAT0000451,579.0,409.0,635.0,423.0,718.0
MIMAT0000452,170.0,73.0,207.0,145.0,212.0
MIMAT0000453,135.0,45.0,337.0,90.0,296.0
MIMAT0000454,152.0,279.0,255.0,164.0,236.0
MIMAT0000455,655.0,1237.0,1585.0,1131.0,1439.0
MIMAT0000456,959.0,1367.0,1460.0,1033.0,1381.0
MIMAT0000457,3.0,1.0,5.0,2.0,1.0
MIMAT0000458,67.0,81.0,116.0,93.0,147.0
MIMAT0000459,4.0,5.0,5.0,10.0,10.0
