,0030a28c-81aa-44b0-8be0-b35e1dcbf98c_01,0bf573ac-cd1e-42d8-90cf-b30d7b08679c_01,0e251c03-bf86-4ed8-b45d-3cbc97160502_01,0e9fcccc-0630-408d-a121-2c6413824cb7_01,1843c82e-7a35-474f-9f79-c0a9af9aa09c_01,1d0db5d7-39ca-466d-96b3-0d278c5ea768_01,1ea575f1-f731-408b-a629-f5f4abab569e_01,1f971af1-6772-4fe6-8d35-bbe527a037fe_01,25ff86af-beb4-480c-b706-f3fe0306f7cf_01,29aff186-c321-4ff9-b81b-105e27e620ff_01,29e3d122-15a1-4235-a356-b1a9f94ceb39_01,31bbad4e-3789-42ec-9faa-1cb86970f723_01,33365d22-cb83-4d8e-a2d1-06b675f75f6e_01,3622cf29-600f-4410-84d4-a9afeb41c475_01,3f5a897d-1eaa-4d4c-8324-27ac07c90927_01,45b0cf9f-a879-417f-8f39-7770552252c0_01,4dd86ebd-ef16-4b2b-9ea0-5d1d7afef257_01,58e66976-4507-4552-ac53-83a49a142dde_01,5eff68ff-f6c3-40c9-9fc8-00e684a7b712_01,67325322-483f-443f-9ffa-2a20d108a2fb_01,69f23725-adca-48ac-9b33-80a7aae24cfe_01,6a21c948-cd85-4150-8c01-83017d7dc1ed_01,6e9437f0-a4ed-475c-ab0e-bf1431c70a90_01,a43e5f0e-a21f-48d8-97e0-084d413680b7_01,a468e725-ad4b-411d-ac5c-2eacc68ec580_01,a5b188f0-a6d3-4d4a-b04f-36d47ec05338_01,a6923479-4e68-4ea8-87ed-e9642b9d43d5_01,a8e2df1e-4042-42af-9231-3a00e83489f0_01,b56bdbdb-43af-4a03-a072-54dd22d7550c_01,c1c06604-5ae2-4a53-b9c0-eb210d38e3f0_01,c3d662ee-48d0-454a-bb0c-77d3338d3747_01,c85f340e-584b-4f3b-b6a5-540491fc8ad2_01,c8cde9ea-89e9-4ee8-8a46-417a48f6d3ab_01,d7df78b5-24f1-4ff4-bd9b-f0e6bec8289a_01,dc87a809-95de-4eb7-a1c2-2650475f2d7e_01,e56e4d9c-052e-4ec6-a81b-dbd53e9c8ffe_01,e6365b38-bc44-400c-b4aa-18ce8ff5bfce_01,ea54dbad-1b23-41cc-9378-d4002a8fca51_01,ed746cb9-0f2f-48ce-923a-3a9f9f00b331_01,eda9496e-be80-4a13-bf06-89f0cc9e937f_01,f0a326d2-1f3e-4a5d-bca8-32aaccc52338_01,f553f1a9-ecf2-4783-a609-6adca7c4c597_01,f784bc3a-751b-4025-aab2-0af2f6f24266_01,f855dad1-6ffc-493e-ba6c-970874bc9210_01,f8cf647b-1447-4ac3-8c43-bef07765cabf_01,f978cb0f-d319-4c01-b4c5-23ae1403a106_01,fdecb74f-ac4e-46b1-b23a-5f7fde96ef9f_01
MIMAT0000072,63.132746,92.999191,143.079023,25.779101,71.824243,75.167629,19.5358,15.928325,35.448616,33.724569,78.008933,13.056721,67.244941,25.222589,33.108902,174.737843,53.786414,29.875672,55.926409,82.667251,12.429603,18.355347,18.169518,50.168568,169.424637,29.835082,53.601538,84.275178,67.312369,12.79113,89.964766,16.535191,106.380362,30.524946,49.536773,27.193051,24.38542,18.043977,105.531019,6.033897,23.922742,72.879845,29.555947,34.703663,28.739038,31.466842,19.075484
MIMAT0000073,226.421845,172.984845,262.71744,38.535769,76.094873,214.071865,58.461611,27.329652,71.919788,81.990925,138.391688,32.206581,163.05634,42.037649,45.675784,409.903758,335.788072,115.299076,108.082496,90.798457,56.498197,30.687848,118.334814,70.948448,173.748697,114.49213,128.517074,179.998139,144.957112,69.004773,56.437524,86.644413,145.734948,57.349897,89.693801,28.552703,52.611061,22.454727,172.391423,50.894605,34.298871,199.086406,97.507836,90.615117,34.283182,57.350857,85.612588
MIMAT0000074,690.18001,645.281083,786.630209,157.066478,381.639083,1001.426801,242.593818,80.144626,230.416002,276.293947,935.060097,184.535009,932.833936,199.912374,207.595233,2035.922475,775.630235,526.202164,343.727476,274.42817,234.27919,187.855526,285.121678,203.049119,643.49913,374.803229,534.538172,853.468851,375.764085,355.795341,367.402693,245.38227,581.709957,253.757885,315.39389,265.132252,167.817765,95.833567,443.447121,171.310187,160.829998,378.264172,322.793798,235.454709,178.657239,358.823506,248.208379
MIMAT0000075,3920.436475,2045.982227,1125.757937,651.387367,988.845111,3259.573222,1348.116006,433.418093,1214.115093,1146.944756,2481.975488,385.173307,5631.63728,1034.593249,518.867241,5313.641838,3470.480309,2343.513781,1496.188521,2330.267867,797.001229,384.028322,1046.843814,1096.583994,1723.728571,1114.713283,1018.007163,2201.871689,1395.174207,1001.074118,1474.639855,693.816718,3203.094257,612.040581,731.033792,956.515592,824.303953,315.569106,2623.277036,383.808275,800.691282,2784.365602,1679.15279,947.361775,199.13663,1310.441715,830.691908
MIMAT0000076,259834.904663,369159.499961,529603.354501,335626.610198,458911.097889,444141.964984,408127.796797,558905.291527,598165.056933,649389.16761,364216.552105,160848.808811,466849.76166,483524.044136,452531.501795,291695.873569,410228.969267,513809.916861,407259.876194,245132.118529,504892.743827,314537.551313,559814.987709,471484.214855,419279.579736,458382.483533,235043.166122,253108.073418,569281.065911,264380.173886,175915.202901,660631.908954,351507.157613,330585.163213,364837.157388,317401.377598,509431.940712,498644.095395,530030.07996,668810.448816,414855.503755,647825.389847,649480.940436,482210.51724,602510.841355,171879.504329,514471.706739
MIMAT0000077,88014.537223,75364.26006,70941.928788,118745.711235,88841.929206,65063.29842,111543.587726,74159.093449,80932.598545,64424.137511,68026.40716,67122.868542,55150.962362,129079.403514,89786.749673,81981.758779,56601.402471,42970.224313,62943.601673,103769.084612,52921.484081,60131.550493,61972.501596,89223.167904,109187.689473,66369.260618,67794.549946,105983.829882,65618.771612,51731.026801,63288.815676,70412.145208,107066.300179,132592.039651,84014.366251,77529.429679,90047.734618,135286.921284,44331.159226,66374.958385,120995.750977,54182.432118,63078.0152,73555.616714,99730.452732,64034.516082,85597.373758
MIMAT0000078,3773.412083,3340.670641,2182.716175,5975.701739,2660.991126,2797.136425,3318.899197,2754.426483,1504.521062,2598.648232,2829.089064,3605.396255,2658.450315,5151.480333,4606.72908,4902.730946,1568.854149,2549.791033,1615.581976,2866.927402,2241.848444,4454.040214,2138.878481,2864.654996,3929.393564,3415.37111,1281.372201,3388.544134,1728.393225,2653.485968,3004.320264,2177.133809,3513.319068,2730.286821,2218.895669,4651.371481,2227.521587,4664.768976,910.385734,2443.990359,5239.080422,1477.505545,2078.024127,2427.087365,2739.260115,3402.986711,3183.789108
MIMAT0000079,4.922213,4.443648,6.697315,4.252224,5.823587,3.117553,2.624214,2.012,3.40852,2.475198,7.678733,9.574929,0.758402,5.137935,5.55843,7.55351,5.529445,2.101806,1.256774,5.420802,1.883273,9.177675,1.397655,4.749686,4.71716,2.98351,18.359582,10.960645,2.73504,4.039305,4.470299,1.102345,6.149154,4.008328,6.448574,6.118435,6.144357,1.403421,2.710558,1.836403,4.611613,1.066533,1.250102,1.204989,6.78875,3.552709,2.043801
MIMAT0000080,1277.635557,896.664565,2074.95027,1465.422259,843.25543,1038.83742,1453.521856,537.371372,743.398373,1141.994361,2370.808396,832.583658,657.534169,1148.561986,884.031844,734.201081,725.362557,707.107618,498.93897,1540.863368,445.205792,2406.271561,662.022723,921.142426,1210.344423,591.480521,901.729812,1185.454592,631.034468,561.126617,1042.417834,560.653291,1176.025677,1030.756505,1191.520593,630.878797,1142.274456,1119.729006,617.826286,647.200966,1651.822079,795.634604,745.506337,769.987504,3138.664832,532.398668,778.234326
MIMAT0000081,14939.775641,10198.488208,9667.575674,10246.793692,7522.133512,13965.59124,9272.653,9060.869339,9012.128879,3806.854133,12090.162973,27523.135424,7378.236101,8187.065671,9442.803769,40753.699206,18850.378267,9378.408866,9210.890949,12339.781378,11579.11706,13637.164076,8476.313469,10459.701428,14482.071649,6963.508337,12346.291259,13800.425663,7120.524242,24986.123308,24787.248698,4674.388968,11015.901713,48840.838309,15785.229658,22428.149158,4753.17252,6513.67513,9011.879107,3763.839594,21567.360387,4640.846343,3942.548956,10289.394803,4993.124697,16580.995653,5134.257343
