,0775583e-c0a0-4f18-9ca2-8f89cedce3d6_01,180a2b9c-9cac-4d96-86e8-cd6b3b9386b5_01,1d136284-bdf5-498e-9506-4893801a337c_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_11,20ec1cd9-7bdb-4eb9-9d20-65795580f1f5_01,22bf93b3-c8dc-4669-862f-3e4ae478849b_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_11,32e9558c-946b-4288-91e1-504e47c308ac_01,3824cd6d-c85c-4b21-819a-932d1afef976_01,3c8ca064-a4a7-416f-a069-4324d4a72038_01,3c8ca064-a4a7-416f-a069-4324d4a72038_11,41b97b11-acaa-4fbc-b3b0-0abc1bcac13b_01,4290b3b3-94f6-43e4-8309-430dd973ae2d_01,47a9ef9b-04f0-4e8d-bfdb-0846ba30d08b_01,48d17b17-348c-405a-ae92-f190372a3aac_01,5166d82f-7b22-4101-bea9-6056e5a74c48_01,5cf3911a-f3ea-4c0e-851d-5bb57ca7190f_01,5fb3affa-3661-48e8-a1cc-b533c862e8c5_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_11,7047dc12-e2ed-40b7-86fd-c5c53a2766fd_01,779ce92d-1abd-44fc-9021-eda4d7f08fff_01,8944fe2a-e32f-4898-a2c5-fb6751f602a4_01,95b69517-4971-450e-9ed0-43bc8b2c0534_01,9d9109f5-5917-4126-8e34-8a7e4632e913_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_11,adc9a685-5b4a-4c29-881a-da1895c47520_01,adc9a685-5b4a-4c29-881a-da1895c47520_11,b10c64c2-7fd2-4210-b975-034affb14b57_01,b16e9c3f-c7df-46c2-bee3-ecaebbab025f_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_11,bc15cec4-1f82-47fe-ae69-3853194fab7e_01,ccb028ae-777c-4af6-b92e-40848f1cf774_01,dcc87c59-fd8c-4511-9983-96d5b9784cb0_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_11,f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_11,fe57b639-db7a-460f-adfe-552f1e034e46_01,ff4131c9-537c-46cc-b495-9af60d431f5e_01
MIMAT0016858,0.0,0.0,0.271103,0.255369,0.0,0.145104,0.0,0.178085,0.0,0.0,0.0,0.095257,0.0,0.0,0.0,0.149582,0.619585,0.0,0.0,0.0,0.0,0.0,0.0,0.499103,0.095724,0.585598,0.154827,0.164925,0.0,0.235572,0.0,0.0,0.0,0.0,0.191565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184379,0.0
MIMAT0016866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0016884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0016888,1.514144,4.516426,0.135551,0.0,0.0,4.933523,2.85353,2.671276,0.823144,4.035282,6.451504,9.239959,3.532137,6.019343,6.464235,7.628672,7.021962,1.670469,6.050548,6.81307,6.906575,2.549653,2.595813,2.329146,0.0,3.806388,8.205827,3.133568,0.863301,4.475871,4.3813,1.97386,5.526178,15.105355,2.490345,5.987045,6.706676,7.1451,2.600179,1.022761,2.68128,2.536766,1.669184,2.581304,8.230169
MIMAT0016895,12.996387,37.421817,16.943917,32.43192,31.014449,31.342386,52.631778,14.246808,29.907572,11.372158,29.237666,13.812308,25.734142,35.171849,28.795226,56.691506,36.96857,13.990175,10.22334,33.445977,71.696824,29.436893,46.488654,22.459619,30.536098,30.8903,24.46265,12.699194,25.323515,17.903487,34.466231,25.801166,35.338456,50.268641,33.332311,40.412551,39.473582,48.067033,39.002684,23.669581,42.30465,35.261038,25.037748,47.385361,47.734976
MIMAT0016915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137266,0.0,0.504591,0.0,0.0,0.0,0.206528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166918,0.0,0.0
MIMAT0016916,0.0,0.0,0.0,0.0,0.0,0.290208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118026,0.0,0.0,0.0,0.0,0.0,0.0,0.328885,0.463574,0.235983,0.0,0.095724,0.1464,0.154827,0.0,0.287767,0.0,0.584173,0.0,0.145426,0.247629,1.14939,0.0,0.0,0.0,0.23638,0.0,0.0,0.0,0.0,0.0,0.235148
MIMAT0016925,2.64975,4.516426,2.304372,1.787585,2.458462,3.917799,3.804707,2.137021,4.664483,4.035281,3.980715,4.762865,3.027546,4.130921,0.97943,2.542891,5.369736,4.176173,2.712316,4.33559,2.959963,6.721811,4.71966,1.996411,3.350355,2.488793,2.477231,3.628342,5.179809,2.826867,4.089214,2.25584,2.326811,7.676492,2.490345,5.987044,1.532954,3.031254,2.600179,4.529364,2.68128,3.551472,2.003019,1.65941,9.641054
MIMAT0017352,0.504714,0.0,0.94886,0.510738,0.378225,0.145104,0.317059,0.534255,0.0,6.236344,0.549064,0.571544,1.009182,0.236052,0.587658,0.299164,1.858755,0.208809,0.20864,0.309685,2.302192,0.463574,0.235983,0.166368,0.287173,1.171196,0.309654,0.659699,0.0,0.235572,1.168347,0.84594,0.290852,0.990515,0.191565,1.496762,0.383238,1.082591,0.94552,0.438327,0.29792,0.507354,0.667673,0.184379,1.175739
MIMAT0017392,0.0,0.0,0.0,0.0,0.0,0.145104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
