Case ID,Read Counts,Sample,TCGA Project,miRNA
42,240ef385-decc-48f7-a798-a81b4ab0410e,90.997243,240ef385-decc-48f7-a798-a81b4ab0410e_01,CESC,miR-151a-5p
43,262311a0-7a10-4934-8fba-11ee581ad738,41.665976,262311a0-7a10-4934-8fba-11ee581ad738_01,CESC,miR-151a-5p
44,27d2b645-f1bf-4486-b0b5-273681b58625,42.470069,27d2b645-f1bf-4486-b0b5-273681b58625_01,CESC,miR-151a-5p
45,287ce10e-31c8-4b10-9858-6e45451dfbe4,76.842853,287ce10e-31c8-4b10-9858-6e45451dfbe4_01,CESC,miR-151a-5p
46,29a48c93-bade-4346-a901-de35a6537337,41.507089,29a48c93-bade-4346-a901-de35a6537337_01,CESC,miR-151a-5p
47,2b6d2c15-8bcc-41ab-84d6-601442f4378b,49.110712,2b6d2c15-8bcc-41ab-84d6-601442f4378b_01,CESC,miR-151a-5p
48,2c600a58-98ed-4572-9b6f-edba2719790c,78.489797,2c600a58-98ed-4572-9b6f-edba2719790c_01,CESC,miR-151a-5p
49,2c736c5c-9d32-4522-acfd-6620bc291ace,233.348285,2c736c5c-9d32-4522-acfd-6620bc291ace_01,CESC,miR-151a-5p
50,2d34e9a3-298c-4365-b7a1-a507c7f069cd,140.955687,2d34e9a3-298c-4365-b7a1-a507c7f069cd_01,CESC,miR-151a-5p
51,2da977fc-8b46-4c40-9636-b12fd36a98e4,31.938884,2da977fc-8b46-4c40-9636-b12fd36a98e4_01,CESC,miR-151a-5p
52,2e08a89e-4035-4782-b54f-f98eef5db80d,175.683633,2e08a89e-4035-4782-b54f-f98eef5db80d_01,CESC,miR-151a-5p
53,2f261704-d600-4226-90d5-d51ba416b55c,106.552149,2f261704-d600-4226-90d5-d51ba416b55c_01,CESC,miR-151a-5p
54,2f6a0e87-1e6c-41f3-93e0-3e505fa654b0,70.568326,2f6a0e87-1e6c-41f3-93e0-3e505fa654b0_01,CESC,miR-151a-5p
55,3143822c-66c4-4b58-8d29-e92d065ff049,37.130338,3143822c-66c4-4b58-8d29-e92d065ff049_01,CESC,miR-151a-5p
56,3223fec6-1d35-419a-8ee9-7c5885b8be1e,129.17553,3223fec6-1d35-419a-8ee9-7c5885b8be1e_01,CESC,miR-151a-5p
57,3265f9c1-7242-4c7d-b4ad-b6519ee94f84,67.19789,3265f9c1-7242-4c7d-b4ad-b6519ee94f84_01,CESC,miR-151a-5p
58,33bc6504-d9ab-4b64-a87c-012915f36644,89.925157,33bc6504-d9ab-4b64-a87c-012915f36644_01,CESC,miR-151a-5p
59,34629eb8-0c5e-4910-8e13-bf7d6a1e337f,133.975704,34629eb8-0c5e-4910-8e13-bf7d6a1e337f_01,CESC,miR-151a-5p
60,35d677b6-0487-44d3-bbba-651eac7e0635,61.562007,35d677b6-0487-44d3-bbba-651eac7e0635_01,CESC,miR-151a-5p
61,36605f5f-245c-41e5-a9db-705373da7923,47.582544,36605f5f-245c-41e5-a9db-705373da7923_01,CESC,miR-151a-5p
62,374f614a-bcd1-4283-ac6f-fc27ddc79987,55.726585,374f614a-bcd1-4283-ac6f-fc27ddc79987_01,CESC,miR-151a-5p
63,3923a64a-f8d7-4e3e-9218-cee642da21db,109.79796,3923a64a-f8d7-4e3e-9218-cee642da21db_01,CESC,miR-151a-5p
64,39a3120c-0889-4a10-816a-e07528a35f7a,41.42729,39a3120c-0889-4a10-816a-e07528a35f7a_01,CESC,miR-151a-5p
65,3a3a9b5e-12a1-41f5-a54c-d4c1e0eccb9e,57.350887,3a3a9b5e-12a1-41f5-a54c-d4c1e0eccb9e_01,CESC,miR-151a-5p
66,3ac62513-b5f4-4063-aabd-dad08a1f56fb,108.86041,3ac62513-b5f4-4063-aabd-dad08a1f56fb_01,CESC,miR-151a-5p
67,3c5b2452-014b-495f-b86a-f522ed84bc3b,47.512845,3c5b2452-014b-495f-b86a-f522ed84bc3b_01,CESC,miR-151a-5p
68,3d190f07-2f79-4ee6-9f63-0b563dc05c74,88.139614,3d190f07-2f79-4ee6-9f63-0b563dc05c74_01,CESC,miR-151a-5p
69,3df6abe2-2123-4bfa-a4e4-88df5f940c04,71.088434,3df6abe2-2123-4bfa-a4e4-88df5f940c04_01,CESC,miR-151a-5p
70,3edb62c1-25ad-4deb-a005-e881a887d06a,61.324007,3edb62c1-25ad-4deb-a005-e881a887d06a_01,CESC,miR-151a-5p
71,40a86987-e77f-4977-92b1-8217796e1938,41.84005,40a86987-e77f-4977-92b1-8217796e1938_01,CESC,miR-151a-5p
72,45cadcf3-ea98-4063-9255-5c18d6a5cbab,86.977226,45cadcf3-ea98-4063-9255-5c18d6a5cbab_01,CESC,miR-151a-5p
73,46adfbbe-3add-41cd-a388-b1ee0790bf62,209.438866,46adfbbe-3add-41cd-a388-b1ee0790bf62_01,CESC,miR-151a-5p
74,46c67dd6-8e66-411d-ad05-95daa9005eb2,27.107306,46c67dd6-8e66-411d-ad05-95daa9005eb2_01,CESC,miR-151a-5p
75,4756acc0-4e96-44d4-b359-04d64dc7eb84,40.394107,4756acc0-4e96-44d4-b359-04d64dc7eb84_01,CESC,miR-151a-5p
76,4770ec81-9174-4d2a-af54-70c00696fb0b,52.684246,4770ec81-9174-4d2a-af54-70c00696fb0b_01,CESC,miR-151a-5p
77,48d81b1e-cd75-4b55-a0b2-c331be2a88ae,92.149809,48d81b1e-cd75-4b55-a0b2-c331be2a88ae_01,CESC,miR-151a-5p
78,4da121da-9193-4ac5-8206-03cb1f7c2c14,63.525447,4da121da-9193-4ac5-8206-03cb1f7c2c14_01,CESC,miR-151a-5p
79,4ed1616e-8c62-4104-bcbe-26d7059f04d0,105.172981,4ed1616e-8c62-4104-bcbe-26d7059f04d0_01,CESC,miR-151a-5p
80,4f4e8834-a716-42e6-bd51-60d80a619202,106.814783,4f4e8834-a716-42e6-bd51-60d80a619202_01,CESC,miR-151a-5p
81,4f4e8834-a716-42e6-bd51-60d80a619202,59.30324,4f4e8834-a716-42e6-bd51-60d80a619202_11,CESC,miR-151a-5p
82,4f514ed4-3be6-44bc-a531-210027846459,49.977923,4f514ed4-3be6-44bc-a531-210027846459_01,CESC,miR-151a-5p
83,5194a247-cfee-4c11-9475-cf5521a8c6e3,81.491959,5194a247-cfee-4c11-9475-cf5521a8c6e3_01,CESC,miR-151a-5p
84,53d99a89-6ebd-4637-91db-7ce43ebc6b8b,27.330882,53d99a89-6ebd-4637-91db-7ce43ebc6b8b_01,CESC,miR-151a-5p
85,53d99a89-6ebd-4637-91db-7ce43ebc6b8b,31.288083,53d99a89-6ebd-4637-91db-7ce43ebc6b8b_06,CESC,miR-151a-5p
86,53eac147-7eb8-4c54-a982-5e058d6749f8,77.173504,53eac147-7eb8-4c54-a982-5e058d6749f8_01,CESC,miR-151a-5p
87,53eb4c4e-0719-476f-9b2b-279d438d7710,57.662943,53eb4c4e-0719-476f-9b2b-279d438d7710_01,CESC,miR-151a-5p
88,55add854-e63f-4335-bea9-23c3eb1e766a,111.124429,55add854-e63f-4335-bea9-23c3eb1e766a_01,CESC,miR-151a-5p
